SYMBOL,DATE,PRICE,SIZE
AAPL,20130102 9:00:00,552.49,5111913
AAPL,20130102 10:00:00,549.10,3569696
AAPL,20130102 11:00:00,545.61,2858756
AAPL,20130102 12:00:00,543.69,1823786
AAPL,20130102 13:00:00,546.10,1400597
AAPL,20130102 14:00:00,546.03,1177672
AAPL,20130102 15:00:00,548.22,3104981
AAPL,20130103 9:00:00,545.87,2305746
AAPL,20130103 10:00:00,547.99,2010636
AAPL,20130103 11:00:00,547.78,1341812
AAPL,20130103 12:00:00,547.91,791507
AAPL,20130103 13:00:00,547.15,777175
AAPL,20130103 14:00:00,545.81,1628109
AAPL,20130103 15:00:00,542.43,3259138
AAPL,20130104 9:00:00,536.52,2656478
AAPL,20130104 10:00:00,530.40,5885600
AAPL,20130104 11:00:00,527.84,2534898
AAPL,20130104 12:00:00,530.74,2403212
AAPL,20130104 13:00:00,529.36,1615057
AAPL,20130104 14:00:00,528.46,1643856
AAPL,20130104 15:00:00,528.99,3712864
AAPL,20130107 9:00:00,518.67,3689410
AAPL,20130107 10:00:00,520.30,3303517
AAPL,20130107 11:00:00,526.20,2916536
AAPL,20130107 12:00:00,522.67,1545840
AAPL,20130107 13:00:00,523.23,1002190
AAPL,20130107 14:00:00,522.08,1195140
AAPL,20130107 15:00:00,524.15,2918338
AAPL,20130108 9:00:00,528.89,3067619
AAPL,20130108 10:00:00,525.18,2928838
AAPL,20130108 11:00:00,522.95,2353027
AAPL,20130108 12:00:00,523.16,1467184
AAPL,20130108 13:00:00,524.47,1472940
AAPL,20130108 14:00:00,525.69,1640347
AAPL,20130108 15:00:00,526.31,2623050
AAPL,20130109 9:00:00,521.37,3003050
AAPL,20130109 10:00:00,521.81,2386891
AAPL,20130109 11:00:00,522.97,1721274
AAPL,20130109 12:00:00,520.97,1091741
AAPL,20130109 13:00:00,521.76,977507
AAPL,20130109 14:00:00,522.04,1198841
AAPL,20130109 15:00:00,518.73,3330049
AAPL,20130110 9:00:00,524.22,3956886
AAPL,20130110 10:00:00,519.71,3881763
AAPL,20130110 11:00:00,518.14,2330564
AAPL,20130110 12:00:00,516.76,1852226
AAPL,20130110 13:00:00,517.20,1343564
AAPL,20130110 14:00:00,519.35,2572984
AAPL,20130110 15:00:00,523.71,4335170
AAPL,20130111 9:00:00,522.52,2665838
AAPL,20130111 10:00:00,520.82,1873684
AAPL,20130111 11:00:00,520.69,1182732
AAPL,20130111 12:00:00,520.99,694790
AAPL,20130111 13:00:00,522.07,1390035
AAPL,20130111 14:00:00,521.95,1203432
AAPL,20130111 15:00:00,520.25,2455442
AAPL,20130114 9:00:00,502.13,7331666
AAPL,20130114 10:00:00,504.14,4009927
AAPL,20130114 11:00:00,504.92,2077878
AAPL,20130114 12:00:00,503.38,1522084
AAPL,20130114 13:00:00,501.88,2053782
AAPL,20130114 14:00:00,503.18,2482702
AAPL,20130114 15:00:00,501.24,4440394
AAPL,20130115 9:00:00,492.41,7698345
AAPL,20130115 10:00:00,490.75,4535544
AAPL,20130115 11:00:00,486.93,4876584
AAPL,20130115 12:00:00,487.98,3931143
AAPL,20130115 13:00:00,488.49,2122584
AAPL,20130115 14:00:00,486.30,2507923
AAPL,20130115 15:00:00,485.58,4686260
AAPL,20130116 9:00:00,496.21,5727736
AAPL,20130116 10:00:00,501.94,5295283
AAPL,20130116 11:00:00,502.76,2507221
AAPL,20130116 12:00:00,503.65,1540371
AAPL,20130116 13:00:00,505.31,2200766
AAPL,20130116 14:00:00,507.71,2592543
AAPL,20130116 15:00:00,507.31,3518547
AAPL,20130117 9:00:00,505.97,3649574
AAPL,20130117 10:00:00,505.08,2846761
AAPL,20130117 11:00:00,504.10,1647949
AAPL,20130117 12:00:00,503.06,1522599
AAPL,20130117 13:00:00,504.70,1485653
AAPL,20130117 14:00:00,506.16,2021497
AAPL,20130117 15:00:00,503.48,2221104
AAPL,20130118 9:00:00,499.48,5041659
AAPL,20130118 10:00:00,499.47,2622333
AAPL,20130118 11:00:00,497.98,1988724
AAPL,20130118 12:00:00,498.44,1306325
AAPL,20130118 13:00:00,499.58,1383357
AAPL,20130118 14:00:00,498.95,1607343
AAPL,20130118 15:00:00,499.57,2918712
AAPL,20130122 9:00:00,504.18,3077003
AAPL,20130122 10:00:00,500.27,2970016
AAPL,20130122 11:00:00,498.29,1854711
AAPL,20130122 12:00:00,498.83,1298427
AAPL,20130122 13:00:00,500.23,1428475
AAPL,20130122 14:00:00,502.56,1986617
AAPL,20130122 15:00:00,503.60,2631027
AAPL,20130123 9:00:00,506.93,2748183
AAPL,20130123 10:00:00,510.34,4460330
