SYMBOL,DATE,PRICE,SIZE
FB,20130102 9:00:00,27.67,14270826
FB,20130102 10:00:00,27.65,11989871
FB,20130102 11:00:00,27.84,10295260
FB,20130102 12:00:00,28.03,8683450
FB,20130102 13:00:00,28.12,6159645
FB,20130102 14:00:00,28.01,7966819
FB,20130102 15:00:00,27.97,8913074
FB,20130103 9:00:00,27.94,10858111
FB,20130103 10:00:00,28.31,16319367
FB,20130103 11:00:00,28.13,9480112
FB,20130103 12:00:00,27.92,7342015
FB,20130103 13:00:00,27.90,2655389
FB,20130103 14:00:00,27.71,8899889
FB,20130103 15:00:00,27.73,6013259
FB,20130104 9:00:00,27.94,9666301
FB,20130104 10:00:00,28.12,12456042
FB,20130104 11:00:00,28.52,16251415
FB,20130104 12:00:00,28.59,6326056
FB,20130104 13:00:00,28.55,5374635
FB,20130104 14:00:00,28.65,6747743
FB,20130104 15:00:00,28.76,15591069
FB,20130107 9:00:00,29.08,18203081
FB,20130107 10:00:00,29.30,14647743
FB,20130107 11:00:00,29.36,8467551
FB,20130107 12:00:00,29.36,7761065
FB,20130107 13:00:00,29.54,9487438
FB,20130107 14:00:00,29.67,10879599
FB,20130107 15:00:00,29.59,13838339
FB,20130108 9:00:00,29.25,11923287
FB,20130108 10:00:00,29.16,10668159
FB,20130108 11:00:00,29.03,6261767
FB,20130108 12:00:00,29.05,3609981
FB,20130108 13:00:00,29.03,3452530
FB,20130108 14:00:00,29.07,2687084
FB,20130108 15:00:00,29.07,6619150
FB,20130109 9:00:00,29.72,17402331
FB,20130109 10:00:00,29.92,21270832
FB,20130109 11:00:00,30.16,14686737
FB,20130109 12:00:00,30.31,15669734
FB,20130109 13:00:00,30.34,8163719
FB,20130109 14:00:00,30.41,10202682
FB,20130109 15:00:00,30.46,14832999
FB,20130110 9:00:00,30.54,13860931
FB,20130110 10:00:00,30.71,18191384
FB,20130110 11:00:00,30.98,17199594
FB,20130110 12:00:00,31.20,15382505
FB,20130110 13:00:00,31.23,8636385
FB,20130110 14:00:00,31.35,9433766
FB,20130110 15:00:00,31.28,11108477
FB,20130111 9:00:00,31.31,13022839
FB,20130111 10:00:00,31.76,23621483
FB,20130111 11:00:00,31.53,11777836
FB,20130111 12:00:00,31.41,10994681
FB,20130111 13:00:00,31.32,7162478
FB,20130111 14:00:00,31.49,9591630
FB,20130111 15:00:00,31.62,12241863
FB,20130114 9:00:00,31.86,21990284
FB,20130114 10:00:00,31.19,28772072
FB,20130114 11:00:00,31.12,11867720
FB,20130114 12:00:00,31.07,5140589
FB,20130114 13:00:00,31.20,5841535
FB,20130114 14:00:00,31.38,7851353
FB,20130114 15:00:00,31.14,13433735
FB,20130115 9:00:00,31.02,17454460
FB,20130115 10:00:00,31.00,12911634
FB,20130115 11:00:00,31.37,18184801
FB,20130115 12:00:00,31.16,13219546
FB,20130115 13:00:00,30.72,60192355
FB,20130115 14:00:00,30.20,23903605
FB,20130115 15:00:00,30.13,23887988
FB,20130116 9:00:00,30.06,15992354
FB,20130116 10:00:00,30.12,13525735
FB,20130116 11:00:00,29.83,12101713
FB,20130116 12:00:00,29.63,8386482
FB,20130116 13:00:00,29.86,5208843
FB,20130116 14:00:00,29.98,6277497
FB,20130116 15:00:00,29.96,12683266
FB,20130117 9:00:00,30.22,9388788
FB,20130117 10:00:00,30.14,7580600
FB,20130117 11:00:00,30.14,3462604
FB,20130117 12:00:00,30.19,3638024
FB,20130117 13:00:00,30.16,3053321
FB,20130117 14:00:00,30.32,6146509
FB,20130117 15:00:00,30.27,6355328
FB,20130118 9:00:00,30.28,6447567
FB,20130118 10:00:00,29.94,11840888
FB,20130118 11:00:00,29.78,4005945
FB,20130118 12:00:00,29.70,4454786
FB,20130118 13:00:00,29.50,8547768
FB,20130118 14:00:00,29.47,3891065
FB,20130118 15:00:00,29.62,9926036
FB,20130122 9:00:00,30.30,14800102
FB,20130122 10:00:00,30.70,14087451
FB,20130122 11:00:00,30.77,4912313
FB,20130122 12:00:00,30.70,3684247
FB,20130122 13:00:00,30.55,6171920
FB,20130122 14:00:00,30.63,3441392
FB,20130122 15:00:00,30.61,6769826
FB,20130123 9:00:00,31.06,12671862
FB,20130123 10:00:00,31.35,10566642
FB,20130123 11:00:00,31.25,4439403
FB,20130123 12:00:00,31.12,4216711
FB,20130123 13:00:00,31.23,4961045
FB,20130123 14:00:00,31.21,3755285
FB,20130123 15:00:00,30.97,7245591
FB,20130124 9:00:00,31.35,8561248
FB,20130124 10:00:00,31.27,9557881
FB,20130124 11:00:00,31.27,5170378
FB,20130124 12:00:00,31.09,5140258
FB,20130124 13:00:00,30.90,4886588
FB,20130124 14:00:00,30.95,3595331
FB,20130124 15:00:00,31.11,6013203
FB,20130125 9:00:00,31.30,6427435
FB,20130125 10:00:00,31.26,7780514
FB,20130125 11:00:00,31.27,4540382
FB,20130125 12:00:00,31.45,7399915
FB,20130125 13:00:00,31.71,9379667
FB,20130125 14:00:00,31.80,7194449
FB,20130125 15:00:00,31.58,10396871
FB,20130128 9:00:00,32.15,16155901
FB,20130128 10:00:00,32.19,11083467
FB,20130128 11:00:00,32.38,7143227
FB,20130128 12:00:00,32.31,6284505
FB,20130128 13:00:00,32.24,3723153
FB,20130128 14:00:00,32.35,4657247
FB,20130128 15:00:00,32.39,9306677
FB,20130129 9:00:00,31.67,15021435
FB,20130129 10:00:00,31.44,14075659
FB,20130129 11:00:00,31.39,6726136
FB,20130129 12:00:00,31.33,4108437
FB,20130129 13:00:00,31.24,5571967
FB,20130129 14:00:00,30.93,10411409
FB,20130129 15:00:00,30.85,12399260
FB,20130130 9:00:00,31.15,11830375
FB,20130130 10:00:00,31.33,10323948
FB,20130130 11:00:00,31.34,4945485
FB,20130130 12:00:00,31.29,4177955
FB,20130130 13:00:00,31.17,5773393
FB,20130130 14:00:00,31.21,5850089
FB,20130130 15:00:00,31.20,14395232
FB,20130131 9:00:00,29.24,32705938
FB,20130131 10:00:00,29.92,33002560
FB,20130131 11:00:00,30.31,17671958
FB,20130131 12:00:00,31.00,26219490
FB,20130131 13:00:00,31.05,27692270
FB,20130131 14:00:00,31.07,14339174
FB,20130131 15:00:00,31.28,26249098
FB,20130201 9:00:00,30.50,19036120
FB,20130201 10:00:00,30.32,15755302
FB,20130201 11:00:00,30.10,11243615
FB,20130201 12:00:00,30.32,7304894
FB,20130201 13:00:00,30.21,5347786
FB,20130201 14:00:00,30.04,7508418
FB,20130201 15:00:00,29.78,18878005
FB,20130204 9:00:00,28.84,19738238
FB,20130204 10:00:00,28.82,18990862
FB,20130204 11:00:00,28.77,8428954
FB,20130204 12:00:00,28.62,7357319
FB,20130204 13:00:00,28.35,11712233
FB,20130204 14:00:00,28.19,13787946
FB,20130204 15:00:00,28.18,10890639
FB,20130205 9:00:00,28.33,11858792
FB,20130205 10:00:00,28.40,10813585
FB,20130205 11:00:00,28.69,5551046
FB,20130205 12:00:00,28.68,3093469
FB,20130205 13:00:00,28.65,3714799
FB,20130205 14:00:00,28.82,5093188
FB,20130205 15:00:00,28.70,7214873
FB,20130206 9:00:00,29.03,10517252
FB,20130206 10:00:00,29.04,8660046
FB,20130206 11:00:00,29.07,4366920
FB,20130206 12:00:00,29.00,3489733
FB,20130206 13:00:00,28.83,3214626
FB,20130206 14:00:00,28.94,3034221
FB,20130206 15:00:00,29.00,4259072
FB,20130207 9:00:00,28.95,5088801
FB,20130207 10:00:00,28.51,10396465
FB,20130207 11:00:00,28.45,4883577
FB,20130207 12:00:00,28.55,3383256
FB,20130207 13:00:00,28.54,2562502
FB,20130207 14:00:00,28.63,2933434
FB,20130207 15:00:00,28.60,4456605
FB,20130208 9:00:00,28.97,8444084
FB,20130208 10:00:00,28.97,6275808
FB,20130208 11:00:00,28.87,4128945
FB,20130208 12:00:00,28.81,4095176
FB,20130208 13:00:00,28.82,3692871
FB,20130208 14:00:00,28.86,3282541
FB,20130208 15:00:00,28.65,7303004
FB,20130211 9:00:00,28.31,7670715
FB,20130211 10:00:00,28.18,8262233
FB,20130211 11:00:00,28.20,3866973
FB,20130211 12:00:00,28.13,4055510
FB,20130211 13:00:00,28.12,3458104
FB,20130211 14:00:00,28.20,2999335
FB,20130211 15:00:00,28.26,4705000
FB,20130212 9:00:00,27.75,12688674
FB,20130212 10:00:00,27.82,11531514
FB,20130212 11:00:00,27.96,12290471
FB,20130212 12:00:00,27.57,13607803
FB,20130212 13:00:00,27.59,4996548
FB,20130212 14:00:00,27.61,5382437
FB,20130212 15:00:00,27.33,18270397
FB,20130213 9:00:00,27.65,8168266
FB,20130213 10:00:00,27.77,6959015
FB,20130213 11:00:00,27.61,3541743
FB,20130213 12:00:00,27.98,12630360
FB,20130213 13:00:00,28.15,7156503
FB,20130213 14:00:00,28.03,5046808
FB,20130213 15:00:00,27.92,6019505
FB,20130214 9:00:00,28.36,7814926
FB,20130214 10:00:00,28.43,7578084
FB,20130214 11:00:00,28.36,3570664
FB,20130214 12:00:00,28.35,1862318
FB,20130214 13:00:00,28.32,1797357
FB,20130214 14:00:00,28.35,3247463
FB,20130214 15:00:00,28.53,8967228
FB,20130215 9:00:00,28.65,6237159
FB,20130215 10:00:00,28.41,6716801
FB,20130215 11:00:00,28.24,5298388
FB,20130215 12:00:00,28.22,3158621
FB,20130215 13:00:00,28.22,2078601
FB,20130215 14:00:00,28.30,4318022
FB,20130215 15:00:00,28.31,4979695
FB,20130219 9:00:00,28.34,4955322
FB,20130219 10:00:00,28.49,6604861
FB,20130219 11:00:00,28.72,7611927
FB,20130219 12:00:00,28.83,3053808
FB,20130219 13:00:00,28.87,4135899
FB,20130219 14:00:00,28.97,7342338
FB,20130219 15:00:00,28.89,11563749
FB,20130220 9:00:00,28.75,7062807
FB,20130220 10:00:00,28.75,5213370
FB,20130220 11:00:00,28.57,6904456
FB,20130220 12:00:00,28.72,4279195
FB,20130220 13:00:00,28.62,2370813
FB,20130220 14:00:00,28.59,3909025
FB,20130220 15:00:00,28.41,9890267
FB,20130221 9:00:00,28.14,8189113
FB,20130221 10:00:00,27.56,14500403
FB,20130221 11:00:00,27.67,4651612
FB,20130221 12:00:00,27.50,4347837
FB,20130221 13:00:00,27.36,4314908
FB,20130221 14:00:00,27.23,4622691
FB,20130221 15:00:00,27.35,8699186
FB,20130222 9:00:00,27.47,6163222
FB,20130222 10:00:00,27.36,5786575
FB,20130222 11:00:00,26.98,9171327
FB,20130222 12:00:00,27.07,3725044
FB,20130222 13:00:00,27.20,3085088
FB,20130222 14:00:00,27.12,2925107
FB,20130222 15:00:00,27.13,4600689
FB,20130225 9:00:00,27.44,5344044
FB,20130225 10:00:00,27.51,5591116
FB,20130225 11:00:00,27.45,3111463
FB,20130225 12:00:00,27.43,2084006
FB,20130225 13:00:00,27.48,2370007
FB,20130225 14:00:00,27.33,4090006
FB,20130225 15:00:00,27.25,8656153
FB,20130226 9:00:00,26.96,6137787
FB,20130226 10:00:00,26.99,5955858
FB,20130226 11:00:00,26.83,4657768
FB,20130226 12:00:00,26.95,3241858
FB,20130226 13:00:00,26.99,2277704
FB,20130226 14:00:00,27.18,2874789
FB,20130226 15:00:00,27.26,5848696
FB,20130227 9:00:00,27.08,4394099
FB,20130227 10:00:00,26.76,10960046
FB,20130227 11:00:00,26.87,5445370
FB,20130227 12:00:00,26.87,3803722
FB,20130227 13:00:00,27.09,6165912
FB,20130227 14:00:00,27.06,4185218
FB,20130227 15:00:00,26.98,8316720
FB,20130228 9:00:00,26.80,4895554
FB,20130228 10:00:00,26.63,8294643
FB,20130228 11:00:00,26.48,6262622
FB,20130228 12:00:00,26.47,4262366
FB,20130228 13:00:00,26.50,5623390
FB,20130228 14:00:00,26.66,5404107
FB,20130228 15:00:00,26.88,23636582
FB,20130301 9:00:00,27.02,6994785
FB,20130301 10:00:00,26.98,7636407
FB,20130301 11:00:00,27.04,5186948
FB,20130301 12:00:00,27.36,8132478
FB,20130301 13:00:00,27.72,8186221
FB,20130301 14:00:00,27.77,4236867
FB,20130301 15:00:00,27.91,12870290
FB,20130304 9:00:00,27.82,7806430
FB,20130304 10:00:00,27.56,7385066
FB,20130304 11:00:00,27.59,3227512
FB,20130304 12:00:00,27.62,3218586
FB,20130304 13:00:00,27.67,2573552
FB,20130304 14:00:00,27.74,3333538
FB,20130304 15:00:00,27.71,4274835
FB,20130305 9:00:00,27.91,5936666
FB,20130305 10:00:00,28.04,8592585
FB,20130305 11:00:00,27.92,4575213
FB,20130305 12:00:00,27.85,2319391
FB,20130305 13:00:00,27.49,6918603
FB,20130305 14:00:00,27.41,5221232
FB,20130305 15:00:00,27.46,5769781
FB,20130306 9:00:00,27.98,8258182
FB,20130306 10:00:00,27.86,5824008
FB,20130306 11:00:00,27.76,4054478
FB,20130306 12:00:00,27.82,2604925
FB,20130306 13:00:00,27.73,2439187
FB,20130306 14:00:00,27.71,2528790
FB,20130306 15:00:00,27.45,7003108
FB,20130307 9:00:00,27.73,7381619
FB,20130307 10:00:00,27.88,7782433
FB,20130307 11:00:00,28.14,10219855
FB,20130307 12:00:00,28.32,8355858
FB,20130307 13:00:00,28.08,14596974
FB,20130307 14:00:00,28.22,11815204
FB,20130307 15:00:00,28.54,13619095
FB,20130308 9:00:00,28.18,11623524
FB,20130308 10:00:00,27.98,9481560
FB,20130308 11:00:00,28.00,3935672
FB,20130308 12:00:00,27.89,4388714
FB,20130308 13:00:00,27.81,3510587
FB,20130308 14:00:00,27.89,3443578
FB,20130308 15:00:00,27.94,6181446
FB,20130311 9:00:00,28.03,5446124
FB,20130311 10:00:00,28.48,10950232
FB,20130311 11:00:00,28.37,3278042
FB,20130311 12:00:00,28.35,2581897
FB,20130311 13:00:00,28.17,3550132
FB,20130311 14:00:00,28.03,4813704
FB,20130311 15:00:00,28.18,4282230
FB,20130312 9:00:00,27.96,6171548
FB,20130312 10:00:00,27.87,4221828
FB,20130312 11:00:00,27.70,5185010
FB,20130312 12:00:00,27.74,2961756
FB,20130312 13:00:00,27.77,2165971
FB,20130312 14:00:00,27.69,2747293
FB,20130312 15:00:00,27.82,3651925
FB,20130313 9:00:00,27.36,7118022
FB,20130313 10:00:00,27.13,9039241
FB,20130313 11:00:00,27.31,4503887
FB,20130313 12:00:00,27.16,4496574
FB,20130313 13:00:00,27.18,2874854
FB,20130313 14:00:00,27.10,3736873
FB,20130313 15:00:00,27.09,6629448
FB,20130314 9:00:00,27.14,7861674
FB,20130314 10:00:00,27.24,4720421
FB,20130314 11:00:00,27.06,2633130
FB,20130314 12:00:00,27.00,2923024
FB,20130314 13:00:00,27.13,2339908
FB,20130314 14:00:00,27.12,1630095
FB,20130314 15:00:00,27.04,4707347
FB,20130315 9:00:00,26.92,7602049
FB,20130315 10:00:00,26.73,6185177
FB,20130315 11:00:00,26.72,2483221
FB,20130315 12:00:00,26.73,1667333
FB,20130315 13:00:00,26.70,2084753
FB,20130315 14:00:00,26.61,3500507
FB,20130315 15:00:00,26.65,6978362
FB,20130318 9:00:00,26.17,7271438
FB,20130318 10:00:00,26.54,5243488
FB,20130318 11:00:00,26.66,3952982
FB,20130318 12:00:00,26.71,1632311
FB,20130318 13:00:00,26.69,2276329
FB,20130318 14:00:00,26.59,1959426
FB,20130318 15:00:00,26.51,3797771
FB,20130319 9:00:00,26.64,5024038
FB,20130319 10:00:00,26.68,4285744
FB,20130319 11:00:00,26.48,4243342
FB,20130319 12:00:00,26.38,2579133
FB,20130319 13:00:00,26.29,2495414
FB,20130319 14:00:00,26.45,2938991
FB,20130319 15:00:00,26.52,3438246
FB,20130320 9:00:00,26.41,3980842
FB,20130320 10:00:00,26.19,9897489
FB,20130320 11:00:00,25.97,9971841
FB,20130320 12:00:00,26.07,3273228
FB,20130320 13:00:00,26.00,3825071
FB,20130320 14:00:00,25.95,4445416
FB,20130320 15:00:00,25.89,7877684
FB,20130321 9:00:00,25.77,4121404
FB,20130321 10:00:00,25.96,4867017
FB,20130321 11:00:00,26.01,3102110
FB,20130321 12:00:00,26.01,1570300
FB,20130321 13:00:00,25.84,3091507
FB,20130321 14:00:00,25.77,2284887
FB,20130321 15:00:00,25.83,4964373
FB,20130322 9:00:00,25.88,3461636
FB,20130322 10:00:00,25.88,3124789
FB,20130322 11:00:00,25.83,2168488
FB,20130322 12:00:00,25.83,1775642
FB,20130322 13:00:00,25.84,1627221
FB,20130322 14:00:00,25.80,1670064
FB,20130322 15:00:00,25.70,3618174
FB,20130325 9:00:00,25.48,6310490
FB,20130325 10:00:00,25.40,7593063
FB,20130325 11:00:00,25.16,6961949
FB,20130325 12:00:00,25.16,2341458
FB,20130325 13:00:00,25.29,4322095
FB,20130325 14:00:00,25.31,2933308
FB,20130325 15:00:00,25.16,6114088
FB,20130326 9:00:00,25.34,6282730
FB,20130326 10:00:00,25.31,5476485
FB,20130326 11:00:00,25.20,3509459
FB,20130326 12:00:00,25.14,2239007
FB,20130326 13:00:00,25.17,2901988
FB,20130326 14:00:00,25.20,2149162
FB,20130326 15:00:00,25.19,4136742
FB,20130327 9:00:00,25.01,9426224
FB,20130327 10:00:00,25.64,14833241
FB,20130327 11:00:00,25.82,5999314
FB,20130327 12:00:00,25.79,3031299
FB,20130327 13:00:00,25.97,5310608
FB,20130327 14:00:00,26.16,6555755
FB,20130327 15:00:00,26.08,6509325
FB,20130328 9:00:00,25.91,4391135
FB,20130328 10:00:00,25.73,5586810
FB,20130328 11:00:00,25.60,4733360
FB,20130328 12:00:00,25.59,2110551
FB,20130328 13:00:00,25.61,2423322
FB,20130328 14:00:00,25.65,2267340
FB,20130328 15:00:00,25.60,3960821
FB,20130401 9:00:00,25.73,4646444
FB,20130401 10:00:00,25.48,4910440
FB,20130401 11:00:00,25.43,3281394
FB,20130401 12:00:00,25.39,1569058
FB,20130401 13:00:00,25.48,1936140
FB,20130401 14:00:00,25.47,1457576
FB,20130401 15:00:00,25.47,3960646
FB,20130402 9:00:00,25.87,5910139
FB,20130402 10:00:00,25.90,5992904
FB,20130402 11:00:00,25.91,4674852
FB,20130402 12:00:00,25.91,3636762
FB,20130402 13:00:00,25.76,3629664
FB,20130402 14:00:00,25.52,4937013
FB,20130402 15:00:00,25.38,6050173
FB,20130403 9:00:00,26.11,12608474
FB,20130403 10:00:00,26.10,8485517
FB,20130403 11:00:00,26.13,4027240
FB,20130403 12:00:00,26.26,5593609
FB,20130403 13:00:00,26.10,4289297
FB,20130403 14:00:00,26.15,4409395
FB,20130403 15:00:00,26.25,8145705
FB,20130404 9:00:00,26.54,10880436
FB,20130404 10:00:00,26.27,9501596
FB,20130404 11:00:00,26.52,8097322
FB,20130404 12:00:00,26.56,7669185
FB,20130404 13:00:00,26.75,22556834
FB,20130404 14:00:00,27.04,11381968
FB,20130404 15:00:00,27.02,10783543
FB,20130405 9:00:00,26.80,8430798
FB,20130405 10:00:00,27.31,19631473
FB,20130405 11:00:00,27.65,10442985
FB,20130405 12:00:00,27.46,5928794
FB,20130405 13:00:00,27.35,4327321
FB,20130405 14:00:00,27.24,5630740
FB,20130405 15:00:00,27.40,8433135
FB,20130408 9:00:00,27.02,5969581
FB,20130408 10:00:00,26.91,5444751
FB,20130408 11:00:00,26.80,3040427
FB,20130408 12:00:00,26.75,2900612
FB,20130408 13:00:00,26.87,2797872
FB,20130408 14:00:00,26.87,1856818
FB,20130408 15:00:00,26.81,4559854
FB,20130409 9:00:00,26.58,5116276
FB,20130409 10:00:00,26.65,3917477
FB,20130409 11:00:00,26.65,1643782
FB,20130409 12:00:00,26.78,1846681
FB,20130409 13:00:00,26.81,1707015
FB,20130409 14:00:00,26.80,1713631
FB,20130409 15:00:00,26.65,3777352
FB,20130410 9:00:00,27.26,10242212
FB,20130410 10:00:00,27.53,10261711
FB,20130410 11:00:00,27.72,6256229
FB,20130410 12:00:00,27.67,3921595
FB,20130410 13:00:00,27.74,4305730
FB,20130410 14:00:00,27.66,3753786
FB,20130410 15:00:00,27.63,6531552
FB,20130411 9:00:00,27.56,6786189
FB,20130411 10:00:00,27.89,6600656
FB,20130411 11:00:00,28.00,6159869
FB,20130411 12:00:00,28.03,2292610
FB,20130411 13:00:00,27.94,2201208
FB,20130411 14:00:00,27.92,2613467
FB,20130411 15:00:00,27.96,4599229
FB,20130412 9:00:00,27.80,5543138
FB,20130412 10:00:00,27.59,5104400
FB,20130412 11:00:00,27.38,4646171
FB,20130412 12:00:00,27.34,3044861
FB,20130412 13:00:00,27.42,2075673
FB,20130412 14:00:00,27.36,3109110
FB,20130412 15:00:00,27.45,4691646
FB,20130415 9:00:00,27.27,4087063
FB,20130415 10:00:00,27.07,5555872
FB,20130415 11:00:00,27.02,3164077
FB,20130415 12:00:00,26.82,3871474
FB,20130415 13:00:00,26.65,2594475
FB,20130415 14:00:00,26.57,3857458
FB,20130415 15:00:00,26.46,5988413
FB,20130416 9:00:00,26.82,3616412
FB,20130416 10:00:00,26.54,6422733
FB,20130416 11:00:00,26.62,3877561
