SYMBOL,DATE,PRICE,SIZE
GOOG,20130102 9:00:00,722.72,652512
GOOG,20130102 10:00:00,719.73,408882
GOOG,20130102 11:00:00,720.14,283716
GOOG,20130102 12:00:00,720.05,205957
GOOG,20130102 13:00:00,718.70,169118
GOOG,20130102 14:00:00,718.88,155669
GOOG,20130102 15:00:00,721.19,438557
GOOG,20130103 9:00:00,725.13,404672
GOOG,20130103 10:00:00,729.08,500547
GOOG,20130103 11:00:00,729.96,247823
GOOG,20130103 12:00:00,729.83,222214
GOOG,20130103 13:00:00,727.80,207355
GOOG,20130103 14:00:00,725.90,268564
GOOG,20130103 15:00:00,722.98,385737
GOOG,20130104 9:00:00,730.48,468558
GOOG,20130104 10:00:00,732.10,409411
GOOG,20130104 11:00:00,734.92,425447
GOOG,20130104 12:00:00,736.98,229630
GOOG,20130104 13:00:00,736.06,237012
GOOG,20130104 14:00:00,738.65,310456
GOOG,20130104 15:00:00,739.32,622190
GOOG,20130107 9:00:00,733.32,383903
GOOG,20130107 10:00:00,734.18,264659
GOOG,20130107 11:00:00,737.56,243835
GOOG,20130107 12:00:00,735.68,171543
GOOG,20130107 13:00:00,734.12,126412
GOOG,20130107 14:00:00,733.51,114373
GOOG,20130107 15:00:00,734.78,301543
GOOG,20130108 9:00:00,733.99,268582
GOOG,20130108 10:00:00,729.53,354033
GOOG,20130108 11:00:00,726.87,258965
GOOG,20130108 12:00:00,727.32,116712
GOOG,20130108 13:00:00,731.43,190969
GOOG,20130108 14:00:00,730.72,128668
GOOG,20130108 15:00:00,731.51,296809
GOOG,20130109 9:00:00,730.58,259063
GOOG,20130109 10:00:00,732.65,456018
GOOG,20130109 11:00:00,736.35,316674
GOOG,20130109 12:00:00,733.61,152287
GOOG,20130109 13:00:00,733.06,104872
GOOG,20130109 14:00:00,734.25,156451
GOOG,20130109 15:00:00,736.63,521979
GOOG,20130110 9:00:00,741.91,338132
GOOG,20130110 10:00:00,737.69,314254
GOOG,20130110 11:00:00,735.40,198380
GOOG,20130110 12:00:00,735.84,114344
GOOG,20130110 13:00:00,735.53,93008
GOOG,20130110 14:00:00,737.51,217563
GOOG,20130110 15:00:00,740.56,435553
GOOG,20130111 9:00:00,739.96,199641
GOOG,20130111 10:00:00,740.02,226523
GOOG,20130111 11:00:00,737.88,124000
GOOG,20130111 12:00:00,737.57,76727
GOOG,20130111 13:00:00,737.39,117000
GOOG,20130111 14:00:00,739.27,139304
GOOG,20130111 15:00:00,739.29,293697
GOOG,20130114 9:00:00,737.93,413094
GOOG,20130114 10:00:00,730.34,536070
GOOG,20130114 11:00:00,727.94,325338
GOOG,20130114 12:00:00,728.32,171322
GOOG,20130114 13:00:00,727.74,162998
GOOG,20130114 14:00:00,726.48,252954
GOOG,20130114 15:00:00,724.29,697214
GOOG,20130115 9:00:00,716.84,524758
GOOG,20130115 10:00:00,716.50,418582
GOOG,20130115 11:00:00,722.06,290763
GOOG,20130115 12:00:00,722.30,145646
GOOG,20130115 13:00:00,727.76,1641287
GOOG,20130115 14:00:00,723.23,378572
GOOG,20130115 15:00:00,724.44,344030
GOOG,20130116 9:00:00,719.14,414910
GOOG,20130116 10:00:00,719.06,259226
GOOG,20130116 11:00:00,718.30,240260
GOOG,20130116 12:00:00,716.12,205878
GOOG,20130116 13:00:00,714.83,235732
GOOG,20130116 14:00:00,714.72,243782
GOOG,20130116 15:00:00,714.72,338562
GOOG,20130117 9:00:00,715.60,378068
GOOG,20130117 10:00:00,717.12,417645
GOOG,20130117 11:00:00,717.10,252218
GOOG,20130117 12:00:00,715.53,214720
GOOG,20130117 13:00:00,712.99,350577
GOOG,20130117 14:00:00,714.50,173909
GOOG,20130117 15:00:00,712.07,379047
GOOG,20130118 9:00:00,710.35,985054
GOOG,20130118 10:00:00,709.42,291126
GOOG,20130118 11:00:00,704.90,519659
GOOG,20130118 12:00:00,702.52,391879
GOOG,20130118 13:00:00,703.49,328734
GOOG,20130118 14:00:00,702.86,193225
GOOG,20130118 15:00:00,704.01,667334
GOOG,20130122 9:00:00,701.27,636854
GOOG,20130122 10:00:00,697.69,484263
GOOG,20130122 11:00:00,697.14,249122
GOOG,20130122 12:00:00,700.08,302282
GOOG,20130122 13:00:00,702.68,244568
GOOG,20130122 14:00:00,704.22,293294
GOOG,20130122 15:00:00,702.64,694463
GOOG,20130123 9:00:00,742.44,2034931
GOOG,20130123 10:00:00,744.95,1113001
GOOG,20130123 11:00:00,746.65,687204
GOOG,20130123 12:00:00,747.90,433282
GOOG,20130123 13:00:00,747.66,291840
GOOG,20130123 14:00:00,746.65,359203
GOOG,20130123 15:00:00,743.61,766770
GOOG,20130124 9:00:00,748.18,796638
GOOG,20130124 10:00:00,752.62,656130
GOOG,20130124 11:00:00,753.79,338507
GOOG,20130124 12:00:00,750.49,333560
GOOG,20130124 13:00:00,748.25,342602
GOOG,20130124 14:00:00,751.57,293212
GOOG,20130124 15:00:00,753.86,555221
GOOG,20130125 9:00:00,753.36,433651
GOOG,20130125 10:00:00,752.25,382396
GOOG,20130125 11:00:00,752.89,167594
GOOG,20130125 12:00:00,753.72,199343
GOOG,20130125 13:00:00,756.31,284893
GOOG,20130125 14:00:00,756.29,221228
GOOG,20130125 15:00:00,753.90,409141
GOOG,20130128 9:00:00,752.70,317438
GOOG,20130128 10:00:00,753.01,282784
GOOG,20130128 11:00:00,753.14,125697
GOOG,20130128 12:00:00,751.44,110464
GOOG,20130128 13:00:00,749.07,171136
GOOG,20130128 14:00:00,750.67,208994
GOOG,20130128 15:00:00,751.75,292005
GOOG,20130129 9:00:00,750.30,260265
GOOG,20130129 10:00:00,750.37,246402
GOOG,20130129 11:00:00,752.63,249224
GOOG,20130129 12:00:00,751.35,167341
GOOG,20130129 13:00:00,753.21,165140
GOOG,20130129 14:00:00,754.52,176686
GOOG,20130129 15:00:00,755.64,368385
GOOG,20130130 9:00:00,757.66,429652
GOOG,20130130 10:00:00,757.03,317416
GOOG,20130130 11:00:00,757.35,112432
GOOG,20130130 12:00:00,755.99,117670
GOOG,20130130 13:00:00,756.77,96743
