SYMBOL,DATE,PRICE,SIZE
MSFT,20130102 9:00:00,27.26,9675274
MSFT,20130102 10:00:00,27.26,8168108
MSFT,20130102 11:00:00,27.21,5933169
MSFT,20130102 12:00:00,27.19,3914997
MSFT,20130102 13:00:00,27.22,3707308
MSFT,20130102 14:00:00,27.29,5677892
MSFT,20130102 15:00:00,27.43,12097559
MSFT,20130103 9:00:00,27.49,5437280
MSFT,20130103 10:00:00,27.45,6303849
MSFT,20130103 11:00:00,27.45,6064255
MSFT,20130103 12:00:00,27.39,4552021
MSFT,20130103 13:00:00,27.34,2903865
MSFT,20130103 14:00:00,27.24,8020618
MSFT,20130103 15:00:00,27.25,10892131
MSFT,20130104 9:00:00,27.13,5467111
MSFT,20130104 10:00:00,26.94,9929056
MSFT,20130104 11:00:00,26.91,6366735
MSFT,20130104 12:00:00,26.91,4654750
MSFT,20130104 13:00:00,26.88,4233791
MSFT,20130104 14:00:00,26.86,4710345
MSFT,20130104 15:00:00,26.79,14290394
MSFT,20130107 9:00:00,26.70,7007455
MSFT,20130107 10:00:00,26.77,6666018
MSFT,20130107 11:00:00,26.78,4100186
MSFT,20130107 12:00:00,26.76,3967600
MSFT,20130107 13:00:00,26.75,3107135
MSFT,20130107 14:00:00,26.72,3795429
MSFT,20130107 15:00:00,26.70,7207176
MSFT,20130108 9:00:00,26.63,6121102
MSFT,20130108 10:00:00,26.54,6356723
MSFT,20130108 11:00:00,26.51,5941528
MSFT,20130108 12:00:00,26.49,3449071
MSFT,20130108 13:00:00,26.52,4731052
MSFT,20130108 14:00:00,26.56,3349811
MSFT,20130108 15:00:00,26.55,11215968
MSFT,20130109 9:00:00,26.65,5522965
MSFT,20130109 10:00:00,26.63,7704160
MSFT,20130109 11:00:00,26.63,3689563
MSFT,20130109 12:00:00,26.63,2944492
MSFT,20130109 13:00:00,26.62,3685073
MSFT,20130109 14:00:00,26.64,4833845
MSFT,20130109 15:00:00,26.64,8981851
MSFT,20130110 9:00:00,26.82,9529702
MSFT,20130110 10:00:00,26.60,10654519
MSFT,20130110 11:00:00,26.43,8794937
MSFT,20130110 12:00:00,26.38,9886768
MSFT,20130110 13:00:00,26.33,7993781
MSFT,20130110 14:00:00,26.36,8549278
MSFT,20130110 15:00:00,26.45,12680581
MSFT,20130111 9:00:00,26.37,8646101
MSFT,20130111 10:00:00,26.38,8766151
MSFT,20130111 11:00:00,26.61,8138581
MSFT,20130111 12:00:00,26.68,5049423
MSFT,20130111 13:00:00,26.74,4705033
MSFT,20130111 14:00:00,26.76,3880230
MSFT,20130111 15:00:00,26.86,13217509
MSFT,20130114 9:00:00,26.91,5182041
MSFT,20130114 10:00:00,26.85,3870231
MSFT,20130114 11:00:00,26.81,5208736
MSFT,20130114 12:00:00,26.85,3596213
MSFT,20130114 13:00:00,26.85,3104349
MSFT,20130114 14:00:00,26.99,12175342
MSFT,20130114 15:00:00,26.86,11581235
MSFT,20130115 9:00:00,27.02,7954499
MSFT,20130115 10:00:00,26.90,5736424
MSFT,20130115 11:00:00,26.94,3670401
MSFT,20130115 12:00:00,26.96,2837369
MSFT,20130115 13:00:00,27.02,11620281
MSFT,20130115 14:00:00,27.09,4898492
MSFT,20130115 15:00:00,27.21,10298559
MSFT,20130116 9:00:00,27.13,5518089
MSFT,20130116 10:00:00,27.15,6969316
MSFT,20130116 11:00:00,27.16,4652531
MSFT,20130116 12:00:00,27.09,4032204
MSFT,20130116 13:00:00,27.05,3587145
MSFT,20130116 14:00:00,27.12,3373186
MSFT,20130116 15:00:00,27.08,9399722
MSFT,20130117 9:00:00,27.11,5873461
MSFT,20130117 10:00:00,27.23,8373412
